epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,359.343,1.85924,1.53588,1.02985,0.55293,0.38323,0.39127,0.19439,1.70697,1.06038,0.96631,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,662.051,1.80246,1.10262,0.98139,0.53556,0.3985,0.39799,0.20154,1.65872,1.0264,0.96232,0.0195798,0.0065266,0.0195798,0.0065266,0.0195798,0.0065266,0.0195798,0.0065266
3,939.695,1.82075,1.09084,0.98666,0.54309,0.39385,0.39141,0.19411,1.71991,1.21559,0.98527,0.0287883,0.0095961,0.0287883,0.0095961,0.0287883,0.0095961,0.0287883,0.0095961
4,1218.4,1.81823,1.08748,0.98801,0.58047,0.41438,0.42848,0.22172,1.62387,0.97613,0.96672,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1499.46,1.76181,1.03558,0.97291,0.61223,0.412,0.43804,0.22298,1.6249,0.98261,0.959,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1781.79,1.73217,1.0041,0.96258,0.60042,0.44844,0.46843,0.23999,1.58133,0.92022,0.94063,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2064.26,1.69644,0.9717,0.95499,0.6203,0.45319,0.4779,0.2476,1.562,0.89629,0.94247,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2347.06,1.67641,0.95598,0.94786,0.62854,0.46119,0.48938,0.25367,1.54281,0.86961,0.93448,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2626.33,1.65952,0.93748,0.94394,0.64662,0.47419,0.50393,0.26281,1.51723,0.85259,0.93068,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2905.38,1.64261,0.92087,0.93831,0.63817,0.47175,0.50198,0.26469,1.50284,0.84757,0.92547,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3183.67,1.62481,0.9113,0.93744,0.65484,0.47842,0.51057,0.26705,1.50275,0.84761,0.92442,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3464.69,1.61172,0.89945,0.93215,0.66086,0.47902,0.5128,0.26999,1.50175,0.84008,0.92339,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3746.26,1.60776,0.89513,0.93142,0.66341,0.4799,0.51587,0.2719,1.48776,0.81407,0.91982,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4028.16,1.59087,0.88205,0.92576,0.65954,0.49186,0.5263,0.2795,1.46912,0.82096,0.92042,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4309.16,1.58176,0.87397,0.92433,0.67218,0.49424,0.53274,0.28241,1.46527,0.80266,0.91632,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4589.93,1.58014,0.8693,0.92162,0.6677,0.49004,0.53025,0.28112,1.46152,0.8007,0.91466,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4864.58,1.56853,0.86083,0.92136,0.65423,0.4925,0.52746,0.27758,1.46664,0.79992,0.91426,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5142.22,1.55485,0.84954,0.91963,0.68616,0.49589,0.53978,0.28627,1.45085,0.78897,0.91201,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5426.43,1.55678,0.8482,0.91757,0.68288,0.49567,0.53899,0.28714,1.44211,0.79788,0.90925,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5710.05,1.54568,0.84237,0.91551,0.68195,0.50332,0.54487,0.28985,1.43787,0.78396,0.90881,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
